Artistname;RecordTitle;RecordType;Year;SongTitle
999;Concrete;LP;1981;Mercy Mercy
999;Concrete;LP;1981;Public Enemy No.1
999;Concrete;LP;1981;So Greedy
999;Concrete;LP;1981;Taboo
999;Concrete;LP;1981;Little Red Riding Hood
999;Concrete;LP;1981;Fortune Teller
999;Concrete;LP;1981;Obsessed
999;Concrete;LP;1981;Silent Anger
999;Concrete;LP;1981;That's The Way It Goes
999;Concrete;LP;1981;Bongos On The Nile
999;Concrete;LP;1981;Don't You Know I Need You
999;Concrete;LP;1981;Break It Up
999;Separates;LP;1978;Feelin' Alright With The Crew
999;Separates;LP;1978;Homicide
999;Separates;LP;1978;Tulse Hill Night
999;Separates;LP;1978;Rael Rean
999;Separates;LP;1978;Let's Face It
999;Separates;LP;1978;Crime Part 2
999;Separates;LP;1978;Out Of Reach
999;Separates;LP;1978;Subterfuge
999;Separates;LP;1978;Wolf
999;Separates;LP;1978;High Energy Plan
999;Separates;LP;1978;Brightest View
999;Separates;LP;1978;Crime Part 1
999;The Biggest Prize In Sport;LP;1980;Inside Out
999;The Biggest Prize In Sport;LP;1980;Trouble
999;The Biggest Prize In Sport;LP;1980;So Long
999;The Biggest Prize In Sport;LP;1980;Fun Thing
999;The Biggest Prize In Sport;LP;1980;Biggest Prize In Sport
999;The Biggest Prize In Sport;LP;1980;Hollywood
10cc;Bloody Tourists;LP;1978;Dreadlock Holiday
10cc;Bloody Tourists;LP;1978;Everyhing You've Ever Wanted To Know About!!!
10cc;Bloody Tourists;LP;1978;Shock On The Tube
10cc;Bloody Tourists;LP;1978;Last Night
10cc;Bloody Tourists;LP;1978;Anonymous Alcoholic
10cc;Bloody Tourists;LP;1978;Reds In My Bed
10cc;Bloody Tourists;LP;1978;Take These Chains
10cc;Bloody Tourists;LP;1978;For You And I
10cc;Bloody Tourists;LP;1978;Life Line
10cc;Bloody Tourists;LP;1978;Tokyo
10cc;Bloody Tourists;LP;1978;Old Mister Time
10cc;Bloody Tourists;LP;1978;From Rochdale To Ocho Rios
10cc;Deceptive Bends;LP;1977;Feel The Benefit
10cc;Deceptive Bends;LP;1977;Good Morning Judge
10cc;Deceptive Bends;LP;1977;Things We Do For Love
10cc;Deceptive Bends;LP;1977;Marriage Bureau Rendezvous
10cc;Deceptive Bends;LP;1977;People In Love
10cc;Deceptive Bends;LP;1977;Modern Man Blues
10cc;Deceptive Bends;LP;1977;Honeymoon With B Troop
10cc;Deceptive Bends;LP;1977;I Bought A Flat Guitar Tutor
10cc;Deceptive Bends;LP;1977;You've Got A Cold
10cc;"Dreadlock Holiday (7"")";Single;1978;Nothing Can Move Me
10cc;"Dreadlock Holiday (7"")";Single;1978;Dreadlock Holiday
10cc;Greatest Hits 1972-1978;LP;1979;Dreadlock Holiday
10cc;Greatest Hits 1972-1978;LP;1979;Silly Love
10cc;Greatest Hits 1972-1978;LP;1979;I'm Not In Love
10cc;Greatest Hits 1972-1978;LP;1979;Things We Do For Love
10cc;Greatest Hits 1972-1978;LP;1979;Good Morning Judge
10cc;Greatest Hits 1972-1978;LP;1979;I'm Mandy Fly Me
10cc;Greatest Hits 1972-1978;LP;1979;Wall Street Shuffle
10cc;Greatest Hits 1972-1978;LP;1979;Life is A Minestrone
10cc;Greatest Hits 1972-1978;LP;1979;Dean And I
10cc;Greatest Hits 1972-1978;LP;1979;Rubber Bullets
10cc;Greatest Hits 1972-1978;LP;1979;Art For Art's Sake
10cc;Greatest Hits 1972-1978;LP;1979;Donna
10cc;How Dare You!;LP;1976;Head Room
10cc;How Dare You!;LP;1976;Rock'n'Roll Lullaby
10cc;How Dare You!;LP;1976;Art For Arts Sake
10cc;How Dare You!;LP;1976;Iceberg
10cc;How Dare You!;LP;1976;I'm Mandy Fly Me
10cc;How Dare You!;LP;1976;I Wanna Rule The World
10cc;How Dare You!;LP;1976;Don't Hang Up
10cc;How Dare You!;LP;1976;How Dare You
10cc;How Dare You!;LP;1976;Lazy Ways
10cc;"I'm Not In Love (7"")";Single;1975;I'm Not In Love
10cc;"I'm Not In Love (7"")";Single;1975;Good News
10cc;"Things We Do For Love (7"")";Single;1976;Things We Do For Love
10cc;"Things We Do For Love (7"")";Single;1976;Hot To Trot
16 Bit;"(Ina) Gadda-Da-Vida (12"")";EP;1987;Garden Of Eden
16 Bit;"(Ina) Gadda-Da-Vida (12"")";EP;1987;"(Ina) Gadda-Da-Vida (12"")"
16 Bit;"Changing Minds (12"")";EP;1987;"Changing Minds (12"")"
16 Bit;"Changing Minds (12"")";EP;1987;Changing Minds Instrumental
16 Bit;"Hi-Score (12"")";EP;1989;Hi-Score (Level 02 Mix)
16 Bit;"Hi-Score (12"")";EP;1989;Hi-Score (Level 01 Mix)
16 Bit;Inaxycvgtgb;LP;1987;Changing Minds
16 Bit;Inaxycvgtgb;LP;1987;Paris Bei Nacht
16 Bit;Inaxycvgtgb;LP;1987;1#1=Won
16 Bit;Inaxycvgtgb;LP;1987;"132 Beats ""xycvgtgb"""
16 Bit;Inaxycvgtgb;LP;1987;Desire
16 Bit;Inaxycvgtgb;LP;1987;Where Are You
